setting,num_seeds,model_name,model_role,rmse_mean_text,rmse_mean_mean,rmse_mean_std,acc_channel_rmse_mean_text,acc_channel_rmse_mean_mean,acc_channel_rmse_mean_std,gyr_channel_rmse_mean_text,gyr_channel_rmse_mean_mean,gyr_channel_rmse_mean_std,pearson_mean_text,pearson_mean_mean,pearson_mean_std,hf_ratio_improvement_mean_text,hf_ratio_improvement_mean_mean,hf_ratio_improvement_mean_std,psd_distance_mean_text,psd_distance_mean_mean,psd_distance_mean_std,parameter_count_text,cpu_forward_ms_text,embedded_deployment_verdict
anomaly_test_only,3,tcn,trained,0.4064 +- 0.0058,0.4064045886888679,0.0058056608576283,0.6628 +- 0.0102,0.6628404604461554,0.010209960600947,0.1500 +- 0.0014,0.1499687169315805,0.0014080759690894,0.8485 +- 0.0020,0.8484896247638108,0.0020420608411893,8.3248 +- 0.0754,8.324795010972089,0.075430013401243,0.0620 +- 0.0003,0.0619657298822646,0.0002986620541528,"101,326",1.328 +- 0.025,possible_on_embedded_linux
anomaly_test_only,3,butterworth,baseline,0.5873 +- 0.0000,0.5873018031483171,0.0,0.9807 +- 0.0000,0.9806766501082668,0.0,0.1939 +- 0.0000,0.1939269561883675,0.0,0.7958 +- 0.0000,0.7957813680402447,0.0,8.1488 +- 0.0000,8.148843703710034,0.0,0.1284 +- 0.0000,0.1284416060760903,0.0,0,2.050 +- 0.019,yes_classical_filter
anomaly_test_only,3,identity,baseline,0.8355 +- 0.0000,0.8355400129296261,0.0,1.2965 +- 0.0000,1.296512626445531,0.0,0.3746 +- 0.0000,0.3745673994137212,5.551115123125783e-17,0.7237 +- 0.0000,0.7237306247999981,0.0,1.9772 +- 0.0000,1.9772192057843112,0.0,0.2335 +- 0.0000,0.2334594120074916,2.775557561562892e-17,0,0.001 +- 0.000,yes_classical_filter
anomaly_test_only,3,lowpass,baseline,0.5743 +- 0.0000,0.5742526644211893,0.0,0.9529 +- 0.0000,0.9528791785584788,0.0,0.1956 +- 0.0000,0.1956261502838994,0.0,0.8378 +- 0.0000,0.8378146367771437,0.0,8.0350 +- 0.0000,8.03496208551679,0.0,0.1403 +- 0.0000,0.1402583732499585,0.0,0,0.029 +- 0.000,yes_classical_filter
anomaly_test_only,3,savgol,baseline,0.6013 +- 0.0000,0.6012956110023372,0.0,0.9994 +- 0.0000,0.9993992470878674,0.0,0.2032 +- 0.0000,0.2031919749168071,0.0,0.7802 +- 0.0000,0.780179011785039,0.0,8.2564 +- 0.0000,8.256381306001165,0.0,0.1282 +- 0.0000,0.1282237190463217,0.0,0,2.110 +- 0.028,yes_classical_filter
anomaly_test_only,3,wiener,baseline,0.6683 +- 0.0000,0.668334753787544,0.0,1.0763 +- 0.0000,1.0762673163243306,0.0,0.2604 +- 0.0000,0.2604021912507576,0.0,0.7351 +- 0.0000,0.735116304518502,0.0,7.6748 +- 0.0000,7.674758101538621,0.0,0.1456 +- 0.0000,0.1455688629990597,0.0,0,0.431 +- 0.002,yes_classical_filter
by_experiment,3,tcn,trained,0.3908 +- 0.0059,0.3907593009289849,0.0059335426117573,0.6408 +- 0.0104,0.6408492546853032,0.0104017665002465,0.1407 +- 0.0015,0.1406693471726667,0.0014751470405621,0.8501 +- 0.0021,0.850097077077196,0.0020547883940092,8.2842 +- 0.0754,8.2841791995162,0.0753961068294046,0.0545 +- 0.0004,0.0544886424866356,0.0003571309606219,"101,326",1.310 +- 0.015,possible_on_embedded_linux
by_experiment,3,butterworth,baseline,0.5716 +- 0.0000,0.5715881892148303,0.0,0.9575 +- 0.0000,0.957492945627324,1.1102230246251563e-16,0.1857 +- 0.0000,0.1856834328023367,0.0,0.7975 +- 0.0000,0.7974520411110791,0.0,8.0568 +- 0.0000,8.056837526657631,0.0,0.1206 +- 0.0000,0.1205936186286037,0.0,0,2.051 +- 0.013,yes_classical_filter
by_experiment,3,identity,baseline,0.8173 +- 0.0000,0.817278666990394,0.0,1.2710 +- 0.0000,1.2710227271075698,0.0,0.3635 +- 0.0000,0.3635346068732186,0.0,0.7254 +- 0.0000,0.7254491415888351,0.0,1.9592 +- 0.0000,1.959244414394512,0.0,0.2248 +- 0.0000,0.2247769397730353,2.775557561562892e-17,0,0.001 +- 0.000,yes_classical_filter
by_experiment,3,lowpass,baseline,0.5575 +- 0.0000,0.5574878736295467,0.0,0.9288 +- 0.0000,0.9288200515846428,0.0,0.1862 +- 0.0000,0.1861556956744504,2.775557561562892e-17,0.8398 +- 0.0000,0.8397894164283356,0.0,7.9824 +- 0.0000,7.982354195163192,8.881784197001252e-16,0.1323 +- 0.0000,0.1322707243130557,0.0,0,0.031 +- 0.001,yes_classical_filter
by_experiment,3,savgol,baseline,0.5852 +- 0.0000,0.5852372898774889,0.0,0.9760 +- 0.0000,0.975976715678251,0.0,0.1945 +- 0.0000,0.1944978640767265,0.0,0.7818 +- 0.0000,0.7818018647506477,0.0,8.1773 +- 0.0000,8.1773288940943,0.0,0.1203 +- 0.0000,0.1203490337383034,1.3877787807814457e-17,0,2.112 +- 0.010,yes_classical_filter
by_experiment,3,wiener,baseline,0.6524 +- 0.0000,0.6523672953414914,0.0,1.0530 +- 0.0000,1.052957521350967,0.0,0.2518 +- 0.0000,0.2517770693320157,0.0,0.7367 +- 0.0000,0.7366711907821365,1.1102230246251563e-16,7.6115 +- 0.0000,7.611472663928211,0.0,0.1380 +- 0.0000,0.1380284376189594,0.0,0,0.431 +- 0.001,yes_classical_filter
by_motion_type,3,tcn,trained,0.5738 +- 0.0027,0.5737572325861072,0.0026746799433366,0.9023 +- 0.0028,0.9023021217928524,0.0027946304469469,0.2452 +- 0.0026,0.2452123433793618,0.0025996053925139,0.9076 +- 0.0004,0.9076459621587422,0.0004288438971537,5.0887 +- 0.0149,5.088667022766215,0.0148597555494116,0.0986 +- 0.0018,0.0986390567121134,0.0017910777377118,"101,326",1.337 +- 0.045,possible_on_embedded_linux
by_motion_type,3,butterworth,baseline,0.7883 +- 0.0000,0.7882682141020178,0.0,1.2776 +- 0.0000,1.277635347112489,0.0,0.2989 +- 0.0000,0.2989010810915463,0.0,0.8604 +- 0.0000,0.8604226002841674,0.0,4.6743 +- 0.0000,4.674312181027227,0.0,0.1924 +- 0.0000,0.1923779007101342,0.0,0,2.097 +- 0.021,yes_classical_filter
by_motion_type,3,identity,baseline,1.2119 +- 0.0000,1.2119204909633907,0.0,1.8329 +- 0.0000,1.83292131237164,2.220446049250313e-16,0.5909 +- 0.0000,0.5909196695551414,0.0,0.7825 +- 0.0000,0.7824835697522454,0.0,1.3063 +- 0.0000,1.3062829350029566,0.0,0.4132 +- 0.0000,0.4132039299888441,0.0,0,0.001 +- 0.000,yes_classical_filter
by_motion_type,3,lowpass,baseline,0.7865 +- 0.0000,0.7864976121783199,0.0,1.2546 +- 0.0000,1.2545914314518836,0.0,0.3184 +- 0.0000,0.3184037929047564,0.0,0.8765 +- 0.0000,0.876549011378442,0.0,4.6914 +- 0.0000,4.691365082471607,0.0,0.2222 +- 0.0000,0.2221873497710927,0.0,0,0.031 +- 0.001,yes_classical_filter
by_motion_type,3,savgol,baseline,0.8108 +- 0.0000,0.8108022240435346,0.0,1.3079 +- 0.0000,1.307896247580738,0.0,0.3137 +- 0.0000,0.3137082005063315,0.0,0.8550 +- 0.0000,0.8549604767160751,1.1102230246251563e-16,4.7639 +- 0.0000,4.763900461750677,0.0,0.1930 +- 0.0000,0.1930043802618017,0.0,0,2.086 +- 0.006,yes_classical_filter
by_motion_type,3,wiener,baseline,0.9392 +- 0.0000,0.9391967891956026,0.0,1.4583 +- 0.0000,1.458323300215057,2.220446049250313e-16,0.4201 +- 0.0000,0.4200702781761483,0.0,0.8139 +- 0.0000,0.8139493637063313,0.0,4.4350 +- 0.0000,4.435024413986722,0.0,0.2306 +- 0.0000,0.2305705204031088,0.0,0,0.431 +- 0.001,yes_classical_filter
