"Setting","Model","RMSE","Acc RMSE","Gyr RMSE","Pearson","PSD Dist."
"by_experiment","tcn_causal","0.3870 +- 0.0013","0.6342 +- 0.0024","0.1399 +- 0.0007","0.8505 +- 0.0008","0.0528 +- 0.0008"
"by_experiment","transformer","0.3472 +- 0.0026","0.5768 +- 0.0038","0.1176 +- 0.0016","0.8842 +- 0.0012","0.0493 +- 0.0009"
"by_experiment","tcn","0.3908 +- 0.0059","0.6408 +- 0.0104","0.1407 +- 0.0015","0.8501 +- 0.0021","0.0545 +- 0.0004"
"by_experiment","gru","0.4020 +- 0.0020","0.6591 +- 0.0032","0.1449 +- 0.0010","0.8401 +- 0.0005","0.0569 +- 0.0009"
"by_experiment","lowpass","0.5575 +- 0.0000","0.9288 +- 0.0000","0.1862 +- 0.0000","0.8398 +- 0.0000","0.1323 +- 0.0000"
"by_motion_type","tcn_causal","0.5753 +- 0.0046","0.9046 +- 0.0065","0.2461 +- 0.0026","0.9068 +- 0.0008","0.0992 +- 0.0005"
"by_motion_type","transformer","0.5227 +- 0.0079","0.8246 +- 0.0100","0.2207 +- 0.0058","0.9163 +- 0.0016","0.0941 +- 0.0043"
"by_motion_type","tcn","0.5738 +- 0.0027","0.9023 +- 0.0028","0.2452 +- 0.0026","0.9076 +- 0.0004","0.0986 +- 0.0018"
"by_motion_type","gru","0.5994 +- 0.0038","0.9434 +- 0.0044","0.2554 +- 0.0034","0.9031 +- 0.0009","0.1053 +- 0.0016"
"by_motion_type","lowpass","0.7865 +- 0.0000","1.2546 +- 0.0000","0.3184 +- 0.0000","0.8765 +- 0.0000","0.2222 +- 0.0000"
"anomaly_test_only","tcn_causal","0.4027 +- 0.0012","0.6562 +- 0.0024","0.1492 +- 0.0007","0.8489 +- 0.0008","0.0604 +- 0.0008"
"anomaly_test_only","transformer","0.3622 +- 0.0027","0.5984 +- 0.0040","0.1260 +- 0.0016","0.8825 +- 0.0011","0.0567 +- 0.0009"
"anomaly_test_only","tcn","0.4064 +- 0.0058","0.6628 +- 0.0102","0.1500 +- 0.0014","0.8485 +- 0.0020","0.0620 +- 0.0003"
"anomaly_test_only","gru","0.4176 +- 0.0021","0.6810 +- 0.0034","0.1541 +- 0.0010","0.8385 +- 0.0005","0.0645 +- 0.0009"
"anomaly_test_only","lowpass","0.5743 +- 0.0000","0.9529 +- 0.0000","0.1956 +- 0.0000","0.8378 +- 0.0000","0.1403 +- 0.0000"
