"Setting","Model","RMSE","Pearson","PSD Dist.","HF Improve."
"by_experiment","transformer","0.3472 +- 0.0026","0.8842 +- 0.0012","0.0493 +- 0.0009","8.2785 +- 0.0558"
"by_experiment","tcn_causal","0.3870 +- 0.0013","0.8505 +- 0.0008","0.0528 +- 0.0008","8.3093 +- 0.0267"
"by_experiment","tcn","0.3908 +- 0.0059","0.8501 +- 0.0021","0.0545 +- 0.0004","8.2842 +- 0.0754"
"by_experiment","lowpass","0.5575 +- 0.0000","0.8398 +- 0.0000","0.1323 +- 0.0000","7.9824 +- 0.0000"
"by_motion_type","transformer","0.5227 +- 0.0079","0.9163 +- 0.0016","0.0941 +- 0.0043","5.0737 +- 0.0120"
"by_motion_type","tcn_causal","0.5753 +- 0.0046","0.9068 +- 0.0008","0.0992 +- 0.0005","5.0922 +- 0.0201"
"by_motion_type","tcn","0.5738 +- 0.0027","0.9076 +- 0.0004","0.0986 +- 0.0018","5.0887 +- 0.0149"
"by_motion_type","lowpass","0.7865 +- 0.0000","0.8765 +- 0.0000","0.2222 +- 0.0000","4.6914 +- 0.0000"
"anomaly_test_only","transformer","0.3622 +- 0.0027","0.8825 +- 0.0011","0.0567 +- 0.0009","8.3563 +- 0.0562"
"anomaly_test_only","tcn_causal","0.4027 +- 0.0012","0.8489 +- 0.0008","0.0604 +- 0.0008","8.3514 +- 0.0227"
"anomaly_test_only","tcn","0.4064 +- 0.0058","0.8485 +- 0.0020","0.0620 +- 0.0003","8.3248 +- 0.0754"
"anomaly_test_only","lowpass","0.5743 +- 0.0000","0.8378 +- 0.0000","0.1403 +- 0.0000","8.0350 +- 0.0000"
