kc_type,experiment_id,motion_folder,motion_index,motion_name,segment,acc_high_band_energy_ratio_norm,gyr_high_band_energy_ratio_norm,acc_mean_diff_norm,gyr_mean_diff_norm,acc_pearson_r_norm,gyr_pearson_r_norm,acc_rmse_norm,gyr_rmse_norm,acc_std_ratio_norm,gyr_std_ratio_norm,combined_difference_score,combined_rmse,combined_high_ratio,selection_reason,median_distance
arm,exp01,motion12_shaking,motion12,shaking,seg3,6.949636159000773,29.831520886954554,0.9912475256625284,2.0669455286587524,0.5405769448201522,0.3748178185963476,4.302287044271438,4.097695107897184,1.816821901207036,2.5335418651560784,0.8053030303030302,4.199991076084311,18.390578522977663,anomaly_case_exp01_seg3; motion_type_shaking; segment_cover_seg3,0.2920454545454544
arm,exp01,motion11_slow2,motion11,slow2,seg3,7.2828345618670856,43.77699701113555,0.05863585324463398,0.1953265482025301,0.2582517538524526,0.3104865422828262,0.8245956906688868,0.7362592085578612,1.9990827634096762,1.8768179275142163,0.7662878787878787,0.7804274496133741,25.529915786501316,motion_type_slow,0.25303030303030294
gait,exp08,motion05_pause2,motion05,pause2,seg5,9.233781637653,139.79618497706278,-0.014371509032381546,0.269791672205256,0.3850543514887496,0.5976946639643336,0.4084446327693067,0.6943649185711933,3.5143089405664925,17.65270788894127,0.743939393939394,0.55140477567025,74.5149833073579,motion_type_pause; segment_cover_seg5,0.2306818181818182
arm,exp03,motion06_slow2,motion06,slow2,seg4,5.779440470214665,15.298416425801031,0.14276436049494154,0.34279134152016294,0.3761172120765761,0.7000680872031272,1.5193309293192971,0.8052688002183392,1.5234502395294824,1.3267114061899408,0.7223484848484848,1.1622998647688183,10.538928448007848,segment_cover_seg4,0.209090909090909
gait,exp10,motion03_pause,motion03,pause,seg2,30.687325709563034,249.81323383907608,0.0022706807231028968,0.017592278644502652,0.34963377405603174,-0.015160218331764211,0.09390306969582382,0.03510896565541513,3.7694467254358157,27.154877157222618,0.7208333333333333,0.06450601767561948,140.25027977431955,high_difference_case; segment_cover_seg2,0.20757575757575752
arm,exp01,motion07_fast_slow_fast,motion07,fast_slow_fast,seg3,6.755047788686939,9.989259732551984,0.594751110417685,0.6594548266461857,0.6619462486646027,0.7655724160196723,2.929576721573179,1.8884465506640442,1.4607059107931586,1.4751441490318726,0.7030303030303031,2.4090116361186116,8.372153760619462,motion_type_fast,0.18977272727272732
arm,exp04,motion03_fast_global,motion03,fast_global,seg3,8.210178271214117,12.580939929705323,0.40442212162562763,0.6678379563908934,0.6987858068133094,0.7282344037208988,2.041275170089989,1.3677620285394276,1.5061573619225264,1.5234863115331807,0.6992424242424242,1.7045185993147083,10.395559100459721,motion_type_global,0.18598484848484842
gait,exp06,motion06_pause3,motion06,pause3,seg1,9.714109025884861,81.2597680348221,0.056895550571767275,0.0017779586320633672,-0.14320571875097624,0.03698306230214401,0.07119609694702732,0.015191566213622347,2.271448841521579,6.83866035595145,0.6946969696969697,0.04319383158032483,45.486938530353484,segment_cover_seg1,0.1814393939393939
arm,exp04,motion02_pause1,motion02,pause1,seg2,11.514311735057834,174.10089260268816,-0.014114367567980797,0.011253070830539311,0.3932894899333456,-0.25436700525095285,0.043756101178514084,0.02179767395240198,3.8700912619593066,13.856534876116749,0.671969696969697,0.03277688756545803,92.807602168873,high_difference_case,0.1587121212121212
arm,exp03,motion05_pause2,motion05,pause2,seg2,14.175797076885177,169.33478717042505,-0.014026242172646338,0.008010767347913122,0.14572693161298722,0.21719950775214866,0.04658262878536859,0.026516231933430678,3.711887019500305,16.5910709207897,0.668560606060606,0.036549430359399636,91.75529212365511,high_difference_case,0.15530303030303017
gait,exp08,motion02_dangle1,motion02,dangle1,seg4,6.028448667268398,9.351722051904712,0.15458780028741995,0.19103161755152673,0.49720731634027343,0.821386352736507,1.4128229550152964,0.6618566734201251,1.5228789820389599,1.1624416066401657,0.662878787878788,1.0373398142177108,7.690085359586555,motion_type_dangle,0.14962121212121215
gait,exp10,motion02_gait_fast,motion02,gait_fast,seg2,6.909228603247971,4.1557101098704585,0.3759437731289544,0.4951324955322728,0.5505012553013665,0.6829676186062325,1.9793443020345514,1.112088136849867,1.8640458969201945,1.6288283888565966,0.6549242424242424,1.5457162194422092,5.532469356559215,motion_type_gait,0.1416666666666666
arm,exp04,motion08_pause4,motion08,pause4,seg2,11.20821338993152,159.64805303108244,-0.020254861548127043,0.003987836482056508,0.21888519468330955,0.04980844998972638,0.03299419037990973,0.01087741838282953,2.3116132983993922,10.891040728261963,0.6333333333333333,0.02193580438136963,85.42813321050699,high_difference_case,0.1200757575757575
arm,exp05,motion01_pickandplace,motion01,pickandplace,seg3,5.2486924410890055,17.001030578574966,0.18896930717663227,0.40140895729646914,0.7547077045479108,0.7872238590086011,0.9647750169872283,0.7636416690713775,1.1392296415137426,1.3395444163048655,0.5962121212121212,0.8642083430293029,11.124861509831986,motion_type_pickandplace,0.08295454545454539
gait,exp10,motion03_pause,motion03,pause,seg4,2.149230159227226,179.83046084264345,-0.03562352566713058,0.008648797032973546,-0.4210502899694661,0.19813839669844605,0.04595103444526771,0.01303623866901191,1.0892038145507499,10.51942790268049,0.556439393939394,0.02949363655713981,90.98984550093533,high_difference_case,0.04318181818181821
gait,exp11,motion01_quasistatic1,motion01,quasistatic1,seg3,8.925118869258519,6.217346073587937,0.07424118377258425,0.05800084482113338,0.5677203068163958,0.6212835829190063,0.3080107568860069,0.1201145651487786,2.0761520430290132,1.6743941764054862,0.5382575757575757,0.21406266101739274,7.571232471423228,motion_type_quasistatic,0.02499999999999991
gait,exp06,motion03_slow1,motion03,slow1,seg2,3.5069671948731727,9.909494589157275,0.04621360828426952,0.11462796814154962,0.6301869953289658,0.8763328057971791,0.7380222468715988,0.35565299266708206,1.53834445683615,1.166389748992769,0.5132575757575758,0.5468376197693404,6.708230892015224,medium_case,0.0
gait,exp07,motion07_slow_fast_freeze_mix,motion07,slow_fast_freeze_mix,seg5,5.75987802189859,6.764709456574321,0.17809764138218562,0.21829520526546237,0.7716907786635496,0.9409178486990494,1.4935418554915547,0.5973240832976793,1.4960653966591377,1.0837786183436053,0.5132575757575758,1.045432969394617,6.262293739236456,medium_case,0.0
gait,exp08,motion05_pause2,motion05,pause2,seg3,6.099450896729402,5.750449136560411,0.11149420515158145,0.03697184908641726,0.4234929097502558,0.6656890075618233,0.1660698060368247,0.07484533167061139,1.523528925015606,3.3837335462838873,0.5132575757575758,0.12045756885371804,5.924950016644907,medium_case,0.0
gait,exp06,motion02_pause1,motion02,pause1,seg2,3.7082053384598246,45.453972490027205,-0.0008291965846875134,-0.00021396672522895927,0.14171804016635547,0.08389905304520062,0.01967938875355609,0.004548013414869808,1.8042044993212079,3.928255380269044,0.5132575757575757,0.01211370108421295,24.581088914243516,medium_case,1.1102230246251565e-16
gait,exp09,motion08_pause4,motion08,pause4,seg3,2.9981478536657806,27.41812844046216,0.1038302707927572,0.002592443413558381,0.2537961689281141,0.18278404439284127,0.10526778099909069,0.0057110427754544,1.5980979115754366,4.549434872148963,0.5125000000000001,0.05548941188727254,15.20813814706397,medium_case,0.0007575757575757347
gait,exp09,motion07_dangle_global2,motion07,dangle_global2,seg1,1.2863687612466508,1.842363845710584,-0.022339883350317565,0.07686975915986845,0.9403474469994945,0.9758684453605506,0.6655472273675949,0.23481848519996723,1.0602508375155575,1.027313677007008,0.21325757575757573,0.4501828562837811,1.5643663034786175,stable_case,
arm,exp02,motion08_pause4,motion08,pause4,seg1,1.3215123352630622,1.7641476784197938,0.08880439580605161,-0.00757914345857204,0.6417584420726903,0.876992159260262,0.09028078733112285,0.008321908550532373,1.2709576378333516,2.298356692204525,0.21136363636363634,0.04930134794082761,1.542830006841428,stable_case,
gait,exp09,motion08_pause4,motion08,pause4,seg5,1.59150991905453,5.870501356322188,-0.019923518665573736,0.004003855837058509,0.804113832663338,0.8583701610299165,0.03259643531881236,0.008230549350816714,1.781541763829869,1.31241239778737,0.2056818181818182,0.020413492334814536,3.7310056376883587,stable_case,
arm,exp04,motion02_pause1,motion02,pause1,seg1,1.5463934304056262,4.4856555634892405,0.08093519108933951,-0.0010670712590726953,0.9289423472171106,0.796668150033118,0.08242724186193028,0.007638273871097398,1.2490936178185459,2.506945127115997,0.2041666666666667,0.04503275786651384,3.0160244969474332,stable_case,
gait,exp11,motion07_pause,motion07,pause,seg4,0.8170598272462631,3.0450712337280073,-0.03558003229058566,0.005098632444276517,0.9402777147244751,0.478647432607163,0.039842415217663435,0.007350394271808551,0.8181264621320145,1.358192630774292,0.16780303030303031,0.023596404744735993,1.9310655304871351,stable_case,
